order_id,order_date,customer_id,customer_segment,channel,product_name,sku_id,category,quantity,unit_price,discount_amount,revenue,cogs,gross_margin,city,state,payment_method,order_status,return_reason,carrier,shipping_days,promised_delivery_date,actual_delivery_date
ORD-10011,2020-01-07,CUST-13242,At-Risk,Google Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,1380.91,0.0,1380.91,718.07,662.84,Mumbai,Maharashtra,Wallet,Delivered,,BlueDart,4,2020-01-09,2020-01-11
ORD-10012,2020-01-09,CUST-11960,New,Organic Search,Coffee Grinder Mini,SKU-COF-009,Kitchen,3,3262.68,0.0,9788.04,3915.22,5872.82,Hyderabad,Telangana,UPI,Delivered,,BlueDart,4,2020-01-11,2020-01-13
ORD-10013,2020-01-09,CUST-13316,At-Risk,Direct Website,Running Shoes V3,SKU-RUN-010,Footwear,2,4043.6,0.0,8087.2,3639.24,4447.96,Surat,Gujarat,Wallet,Delivered,,XpressBees,4,2020-01-12,2020-01-13
ORD-10014,2020-01-11,CUST-10428,Loyal,Organic Search,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,571.58,82.77,977.62,400.11,577.51,Bengaluru,Karnataka,UPI,Delivered,,Delhivery,5,2020-01-15,2020-01-16
ORD-10015,2020-01-12,CUST-10289,Loyal,Flipkart Marketplace,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,3748.83,676.53,3072.3,1949.39,1122.91,Bengaluru,Karnataka,Credit Card,Delivered,,Delhivery,3,2020-01-16,2020-01-15
ORD-10016,2020-01-13,CUST-10675,Loyal,Instagram Ads,Smart LED Bulb,SKU-LED-007,Smart Home,2,750.11,92.19,1315.84,630.09,685.75,Pune,Maharashtra,Cash on Delivery,Delivered,,DTDC,4,2020-01-19,2020-01-17
ORD-10017,2020-01-13,CUST-10948,Returning,Email Campaign,Yoga Mat Premium,SKU-YOG-006,Fitness,3,1838.72,222.15,4849.71,2096.14,2753.57,Hyderabad,Telangana,Wallet,Delivered,,Ekart,2,2020-01-18,2020-01-15
ORD-10018,2020-01-14,CUST-12311,New,Google Ads,Coffee Grinder Mini,SKU-COF-009,Kitchen,2,3141.64,0.0,6283.28,2513.31,3769.97,Delhi,Delhi,Credit Card,Delivered,,BlueDart,1,2020-01-16,2020-01-15
ORD-10019,2020-01-15,CUST-11091,Returning,Google Ads,Yoga Mat Premium,SKU-YOG-006,Fitness,3,761.61,0.0,2284.83,868.24,1416.59,Hyderabad,Telangana,Wallet,Delivered,,Delhivery,6,2020-01-19,2020-01-21
ORD-10020,2020-01-17,CUST-13089,At-Risk,Direct Website,Portable Charger 20k,SKU-CHG-008,Electronics,1,2621.78,492.58,2129.2,1389.54,739.66,Bengaluru,Karnataka,Cash on Delivery,Delivered,,Ekart,3,2020-01-22,2020-01-20
ORD-10021,2020-01-18,CUST-10498,Loyal,Direct Website,Portable Charger 20k,SKU-CHG-008,Electronics,1,3733.13,0.0,3733.13,1978.56,1754.57,Mumbai,Maharashtra,Cash on Delivery,Shipped,,Ekart,2,2020-01-23,2020-01-20
ORD-10022,2020-01-20,CUST-11199,Returning,Amazon Marketplace,Wireless Earbuds Pro,SKU-EAR-001,Electronics,2,4663.86,238.03,8851.66,4850.41,4001.25,Mumbai,Maharashtra,Cash on Delivery,Delivered,,XpressBees,4,2020-01-23,2020-01-24
ORD-10023,2020-01-20,CUST-11415,New,Flipkart Marketplace,Fitness Tracker X2,SKU-FIT-002,Electronics,3,5495.32,0.0,16485.96,7913.26,8572.7,Chennai,Tamil Nadu,Credit Card,Delivered,,DTDC,4,2020-01-26,2020-01-24
ORD-10024,2020-01-21,CUST-10269,Loyal,Amazon Marketplace,Portable Charger 20k,SKU-CHG-008,Electronics,3,3833.02,0.0,11499.06,6094.5,5404.56,Mumbai,Maharashtra,UPI,Delivered,,BlueDart,3,2020-01-23,2020-01-24
ORD-10025,2020-01-22,CUST-12108,New,Flipkart Marketplace,Fitness Tracker X2,SKU-FIT-002,Electronics,3,3092.05,0.0,9276.15,4452.55,4823.6,Pune,Maharashtra,UPI,Delivered,,Delhivery,5,2020-01-26,2020-01-27
ORD-10026,2020-01-22,CUST-11373,Returning,Direct Website,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,1,370.93,57.15,313.78,129.83,183.95,Bengaluru,Karnataka,UPI,Delivered,,XpressBees,4,2020-01-25,2020-01-26
ORD-10027,2020-01-22,CUST-10331,Loyal,Google Ads,Portable Charger 20k,SKU-CHG-008,Electronics,1,3472.47,0.0,3472.47,1840.41,1632.06,Mumbai,Maharashtra,UPI,Delivered,,BlueDart,4,2020-01-24,2020-01-26
ORD-10028,2020-01-23,CUST-10723,Returning,Google Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,716.0,0.0,1432.0,501.2,930.8,Jaipur,Rajasthan,UPI,Delivered,,Ekart,2,2020-01-28,2020-01-25
ORD-10029,2020-01-23,CUST-11377,Returning,Direct Website,Fitness Tracker X2,SKU-FIT-002,Electronics,3,6979.9,0.0,20939.7,10051.06,10888.64,Kolkata,West Bengal,UPI,Returned,Size/fit issue,BlueDart,2,2020-01-25,2020-01-25
ORD-10030,2020-01-24,CUST-11838,New,Google Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,2068.98,349.22,5159.28,3227.61,1931.67,Chennai,Tamil Nadu,Debit Card,Delivered,,Ekart,4,2020-01-29,2020-01-28
ORD-10031,2020-01-24,CUST-10734,Returning,Instagram Ads,USB-C Hub 7-in-1,SKU-HUB-005,Electronics,1,2195.28,0.0,2195.28,1097.64,1097.64,Pune,Maharashtra,UPI,Delivered,,BlueDart,3,2020-01-26,2020-01-27
ORD-10032,2020-01-24,CUST-11782,New,Organic Search,Smart LED Bulb,SKU-LED-007,Smart Home,2,1325.16,0.0,2650.32,1113.13,1537.19,Chennai,Tamil Nadu,UPI,Cancelled,,XpressBees,4,2020-01-27,2020-01-28
ORD-10033,2020-01-25,CUST-10450,Loyal,Flipkart Marketplace,Portable Charger 20k,SKU-CHG-008,Electronics,2,2171.1,0.0,4342.2,2301.37,2040.83,Mumbai,Maharashtra,UPI,Delivered,,Ekart,6,2020-01-30,2020-01-31
ORD-10034,2020-01-25,CUST-10526,Loyal,Direct Website,Running Shoes V3,SKU-RUN-010,Footwear,3,5618.5,0.0,16855.5,7584.98,9270.52,Chennai,Tamil Nadu,UPI,Delivered,,DTDC,8,2020-01-31,2020-02-02
ORD-10035,2020-01-26,CUST-10020,Loyal,Instagram Ads,Smart LED Bulb,SKU-LED-007,Smart Home,1,1293.82,0.0,1293.82,543.4,750.42,Delhi,Delhi,Debit Card,Shipped,,BlueDart,4,2020-01-28,2020-01-30
ORD-10036,2020-01-26,CUST-10936,Returning,Email Campaign,Portable Charger 20k,SKU-CHG-008,Electronics,3,2143.35,0.0,6430.05,3407.93,3022.12,Jaipur,Rajasthan,Cash on Delivery,Delivered,,DTDC,7,2020-02-01,2020-02-02
ORD-10037,2020-01-27,CUST-10325,Loyal,Instagram Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,525.34,60.4,1394.82,551.61,843.21,Bengaluru,Karnataka,Debit Card,Delivered,,Ekart,6,2020-02-01,2020-02-02
ORD-10038,2020-01-29,CUST-11265,Returning,Organic Search,Mechanical Keyboard,SKU-KEY-004,Electronics,1,5338.88,622.2,4716.68,2936.38,1780.3,Pune,Maharashtra,Debit Card,Shipped,,Ekart,6,2020-02-03,2020-02-04
ORD-10039,2020-01-29,CUST-13203,At-Risk,Direct Website,Mechanical Keyboard,SKU-KEY-004,Electronics,3,11175.01,0.0,33525.03,18438.77,15086.26,Mumbai,Maharashtra,Wallet,Delivered,,XpressBees,2,2020-02-01,2020-01-31
ORD-10040,2020-01-30,CUST-13496,At-Risk,Organic Search,Wireless Earbuds Pro,SKU-EAR-001,Electronics,2,2336.63,193.73,4285.8,2430.1,1855.7,Bengaluru,Karnataka,Debit Card,Delivered,,XpressBees,3,2020-02-02,2020-02-02
ORD-10041,2020-01-30,CUST-10646,Loyal,Google Ads,Running Shoes V3,SKU-RUN-010,Footwear,3,2845.84,0.0,8537.52,3841.88,4695.64,Mumbai,Maharashtra,UPI,Delivered,,DTDC,10,2020-02-05,2020-02-09
ORD-10042,2020-02-01,CUST-11840,New,Google Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,1,321.09,0.0,321.09,112.38,208.71,Bengaluru,Karnataka,UPI,Delivered,,DTDC,3,2020-02-07,2020-02-04
ORD-10043,2020-02-02,CUST-13160,At-Risk,Google Ads,USB-C Hub 7-in-1,SKU-HUB-005,Electronics,3,921.37,0.0,2764.11,1382.06,1382.05,Hyderabad,Telangana,Debit Card,Processing,,Delhivery,4,2020-02-06,2020-02-06
ORD-10044,2020-02-02,CUST-11039,Returning,Instagram Ads,Mechanical Keyboard,SKU-KEY-004,Electronics,1,5128.48,736.74,4391.74,2820.66,1571.08,Chennai,Tamil Nadu,Debit Card,Processing,,Delhivery,5,2020-02-06,2020-02-07
ORD-10045,2020-02-03,CUST-10576,Loyal,Flipkart Marketplace,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,4119.4,0.0,4119.4,2142.09,1977.31,Bengaluru,Karnataka,Cash on Delivery,Returned,Changed mind,DTDC,6,2020-02-09,2020-02-09
ORD-10046,2020-02-05,CUST-10268,Loyal,Direct Website,Running Shoes V3,SKU-RUN-010,Footwear,2,2123.55,0.0,4247.1,1911.2,2335.9,Mumbai,Maharashtra,UPI,Delivered,,DTDC,4,2020-02-11,2020-02-09
ORD-10047,2020-02-06,CUST-10304,Loyal,Organic Search,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,472.05,0.0,944.1,330.44,613.66,Chennai,Tamil Nadu,Wallet,Cancelled,,DTDC,3,2020-02-12,2020-02-09
ORD-10048,2020-02-07,CUST-12464,New,Google Ads,Fitness Tracker X2,SKU-FIT-002,Electronics,1,2819.92,0.0,2819.92,1353.56,1466.36,Mumbai,Maharashtra,Credit Card,Delivered,,DTDC,8,2020-02-13,2020-02-15
ORD-10049,2020-02-09,CUST-10447,Loyal,Direct Website,Mechanical Keyboard,SKU-KEY-004,Electronics,1,6931.1,1010.57,5920.53,3812.11,2108.42,Kolkata,West Bengal,Cash on Delivery,Delivered,,XpressBees,4,2020-02-12,2020-02-13
ORD-10050,2020-02-09,CUST-10467,Loyal,Organic Search,Fitness Tracker X2,SKU-FIT-002,Electronics,2,2767.17,0.0,5534.34,2656.48,2877.86,Chennai,Tamil Nadu,Credit Card,Delivered,,DTDC,8,2020-02-15,2020-02-17
ORD-10051,2020-02-09,CUST-11907,New,Amazon Marketplace,Running Shoes V3,SKU-RUN-010,Footwear,1,6252.79,867.6,5385.19,2813.76,2571.43,Pune,Maharashtra,UPI,Shipped,,XpressBees,2,2020-02-12,2020-02-11
ORD-10052,2020-02-09,CUST-12374,New,Google Ads,Fitness Tracker X2,SKU-FIT-002,Electronics,1,6286.33,0.0,6286.33,3017.44,3268.89,Surat,Gujarat,Credit Card,Delivered,,DTDC,6,2020-02-15,2020-02-15
ORD-10053,2020-02-09,CUST-10359,Loyal,Google Ads,Mechanical Keyboard,SKU-KEY-004,Electronics,1,9716.37,642.78,9073.59,5344.0,3729.59,Delhi,Delhi,UPI,Delivered,,Ekart,5,2020-02-14,2020-02-14
ORD-10054,2020-02-10,CUST-11607,New,Flipkart Marketplace,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,434.61,65.78,1106.49,456.34,650.15,Hyderabad,Telangana,UPI,Delivered,,DTDC,9,2020-02-16,2020-02-19
ORD-10055,2020-02-16,CUST-10818,Returning,Instagram Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,5368.8,305.63,15189.51,8375.33,6814.18,Chennai,Tamil Nadu,Cash on Delivery,Delivered,,BlueDart,1,2020-02-18,2020-02-17
ORD-10056,2020-02-19,CUST-10477,Loyal,Google Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,2,4513.38,922.76,7181.24,4693.92,2487.32,Hyderabad,Telangana,Credit Card,Delivered,,DTDC,8,2020-02-25,2020-02-27
ORD-10057,2020-02-19,CUST-11030,Returning,Direct Website,Yoga Mat Premium,SKU-YOG-006,Fitness,3,707.64,0.0,2122.92,806.71,1316.21,Chennai,Tamil Nadu,UPI,Delivered,,DTDC,8,2020-02-25,2020-02-27
ORD-10058,2020-02-19,CUST-12067,New,Referral,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,1,564.46,0.0,564.46,197.56,366.9,Jaipur,Rajasthan,Credit Card,Delivered,,XpressBees,4,2020-02-22,2020-02-23
ORD-10059,2020-02-20,CUST-10171,Loyal,Referral,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,4885.23,709.43,4175.8,2540.32,1635.48,Bengaluru,Karnataka,Debit Card,Delivered,,DTDC,3,2020-02-26,2020-02-23
ORD-10060,2020-02-24,CUST-10122,Loyal,Instagram Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,486.54,68.82,835.44,340.58,494.86,Kolkata,West Bengal,UPI,Shipped,,Ekart,2,2020-02-29,2020-02-26
ORD-10061,2020-02-24,CUST-12762,New,Direct Website,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,528.94,0.0,1586.82,555.39,1031.43,Chennai,Tamil Nadu,UPI,Delivered,,Delhivery,5,2020-02-28,2020-02-29
ORD-10062,2020-02-25,CUST-13184,At-Risk,Instagram Ads,USB-C Hub 7-in-1,SKU-HUB-005,Electronics,2,2499.93,383.17,4233.52,2499.93,1733.59,Pune,Maharashtra,Cash on Delivery,Delivered,,BlueDart,3,2020-02-27,2020-02-28
ORD-10063,2020-02-27,CUST-11054,Returning,Organic Search,Running Shoes V3,SKU-RUN-010,Footwear,3,2388.37,0.0,7165.11,3224.3,3940.81,Delhi,Delhi,UPI,Delivered,,BlueDart,3,2020-02-29,2020-03-01
ORD-10064,2020-02-27,CUST-10247,Loyal,Direct Website,Mechanical Keyboard,SKU-KEY-004,Electronics,2,11718.95,1429.54,20578.82,12890.84,7687.98,Delhi,Delhi,Cash on Delivery,Delivered,,DTDC,9,2020-03-04,2020-03-07
ORD-10065,2020-02-28,CUST-10135,Loyal,Direct Website,Portable Charger 20k,SKU-CHG-008,Electronics,1,2023.44,0.0,2023.44,1072.42,951.02,Jaipur,Rajasthan,UPI,Shipped,,BlueDart,2,2020-03-01,2020-03-01
ORD-10066,2020-02-28,CUST-10269,Loyal,Direct Website,Portable Charger 20k,SKU-CHG-008,Electronics,3,1580.02,0.0,4740.06,2512.23,2227.83,Kolkata,West Bengal,Debit Card,Delivered,,Delhivery,3,2020-03-03,2020-03-02
ORD-10067,2020-02-29,CUST-10488,Loyal,Direct Website,Wireless Earbuds Pro,SKU-EAR-001,Electronics,2,1225.55,260.24,1930.62,1274.57,656.05,Hyderabad,Telangana,Debit Card,Returned,Defective product,Ekart,7,2020-03-05,2020-03-07
ORD-10068,2020-03-03,CUST-11582,New,Email Campaign,Yoga Mat Premium,SKU-YOG-006,Fitness,3,1359.15,0.0,4077.45,1549.43,2528.02,Bengaluru,Karnataka,UPI,Delivered,,Delhivery,5,2020-03-07,2020-03-08
ORD-10069,2020-03-04,CUST-10190,Loyal,Instagram Ads,USB-C Hub 7-in-1,SKU-HUB-005,Electronics,3,3187.48,0.0,9562.44,4781.22,4781.22,Delhi,Delhi,Debit Card,Delivered,,DTDC,7,2020-03-10,2020-03-11
ORD-10070,2020-03-05,CUST-10236,Loyal,Referral,Yoga Mat Premium,SKU-YOG-006,Fitness,3,2157.55,0.0,6472.65,2459.61,4013.04,Delhi,Delhi,Credit Card,Delivered,,BlueDart,3,2020-03-07,2020-03-08
ORD-10071,2020-03-05,CUST-11733,New,Referral,Fitness Tracker X2,SKU-FIT-002,Electronics,3,7516.25,0.0,22548.75,10823.4,11725.35,Delhi,Delhi,Credit Card,Delivered,,BlueDart,4,2020-03-07,2020-03-09
ORD-10072,2020-03-05,CUST-10444,Loyal,Amazon Marketplace,USB-C Hub 7-in-1,SKU-HUB-005,Electronics,3,2241.21,0.0,6723.63,3361.82,3361.81,Jaipur,Rajasthan,Cash on Delivery,Delivered,,Delhivery,3,2020-03-09,2020-03-08
ORD-10073,2020-03-05,CUST-10373,Loyal,Direct Website,Fitness Tracker X2,SKU-FIT-002,Electronics,2,4968.1,0.0,9936.2,4769.38,5166.82,Delhi,Delhi,Wallet,Delivered,,XpressBees,3,2020-03-08,2020-03-08
ORD-10074,2020-03-05,CUST-11210,Returning,Organic Search,Running Shoes V3,SKU-RUN-010,Footwear,1,4701.03,0.0,4701.03,2115.46,2585.57,Bengaluru,Karnataka,UPI,Delivered,,Delhivery,2,2020-03-09,2020-03-07
ORD-10075,2020-03-06,CUST-10136,Loyal,Direct Website,Yoga Mat Premium,SKU-YOG-006,Fitness,2,688.19,84.76,1206.86,523.02,683.84,Chennai,Tamil Nadu,Debit Card,Delivered,,DTDC,9,2020-03-12,2020-03-15
ORD-10076,2020-03-06,CUST-11343,Returning,Instagram Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,5565.7,0.0,5565.7,2894.16,2671.54,Chennai,Tamil Nadu,UPI,Delivered,,BlueDart,3,2020-03-08,2020-03-09
ORD-10077,2020-03-06,CUST-10033,Loyal,Direct Website,Yoga Mat Premium,SKU-YOG-006,Fitness,1,1542.73,0.0,1542.73,586.24,956.49,Pune,Maharashtra,UPI,Delivered,,Delhivery,6,2020-03-10,2020-03-12
ORD-10078,2020-03-08,CUST-10402,Loyal,Instagram Ads,Running Shoes V3,SKU-RUN-010,Footwear,2,5185.47,698.04,8974.86,4666.92,4307.94,Bengaluru,Karnataka,UPI,Delivered,,XpressBees,3,2020-03-11,2020-03-11
ORD-10079,2020-03-09,CUST-10829,Returning,Google Ads,Portable Charger 20k,SKU-CHG-008,Electronics,2,3045.5,195.02,5700.96,3228.23,2472.73,Delhi,Delhi,Debit Card,Delivered,,XpressBees,3,2020-03-12,2020-03-12
ORD-10080,2020-03-12,CUST-11349,Returning,Instagram Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,776.49,75.74,1401.5,543.54,857.96,Hyderabad,Telangana,Debit Card,Delivered,,Ekart,2,2020-03-17,2020-03-14
ORD-10081,2020-03-13,CUST-10351,Loyal,Instagram Ads,Coffee Grinder Mini,SKU-COF-009,Kitchen,2,1828.52,0.0,3657.04,1462.82,2194.22,Chennai,Tamil Nadu,Credit Card,Delivered,,Ekart,7,2020-03-18,2020-03-20
ORD-10082,2020-03-13,CUST-12594,New,Google Ads,Fitness Tracker X2,SKU-FIT-002,Electronics,3,6404.45,925.42,16437.09,9222.41,7214.68,Surat,Gujarat,Wallet,Delivered,,BlueDart,2,2020-03-15,2020-03-15
ORD-10083,2020-03-14,CUST-12800,At-Risk,Referral,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,1,726.46,72.26,654.2,254.26,399.94,Hyderabad,Telangana,Net Banking,Delivered,,BlueDart,1,2020-03-16,2020-03-15
ORD-10084,2020-03-14,CUST-10916,Returning,Google Ads,Fitness Tracker X2,SKU-FIT-002,Electronics,2,7172.54,1693.98,10957.12,6885.64,4071.48,Pune,Maharashtra,UPI,Delivered,,BlueDart,3,2020-03-16,2020-03-17
ORD-10085,2020-03-14,CUST-10470,Loyal,Direct Website,Running Shoes V3,SKU-RUN-010,Footwear,1,2060.79,0.0,2060.79,927.36,1133.43,Ahmedabad,Gujarat,UPI,Delivered,,Ekart,7,2020-03-19,2020-03-21
ORD-10086,2020-03-15,CUST-10190,Loyal,Email Campaign,Portable Charger 20k,SKU-CHG-008,Electronics,3,2011.19,152.58,5575.83,3197.79,2378.04,Mumbai,Maharashtra,Debit Card,Delivered,,DTDC,3,2020-03-21,2020-03-18
ORD-10087,2020-03-17,CUST-12970,At-Risk,Organic Search,Yoga Mat Premium,SKU-YOG-006,Fitness,2,1494.99,134.35,2721.28,1136.19,1585.09,Delhi,Delhi,UPI,Delivered,,BlueDart,3,2020-03-19,2020-03-20
ORD-10088,2020-03-19,CUST-10230,Loyal,Amazon Marketplace,Smart LED Bulb,SKU-LED-007,Smart Home,2,1590.76,0.0,3181.52,1336.24,1845.28,Mumbai,Maharashtra,UPI,Delivered,,BlueDart,2,2020-03-21,2020-03-21
ORD-10089,2020-03-20,CUST-10515,Loyal,Organic Search,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,879.07,0.0,1758.14,615.35,1142.79,Ahmedabad,Gujarat,UPI,Delivered,,XpressBees,2,2020-03-23,2020-03-22
ORD-10090,2020-03-21,CUST-10568,Loyal,Google Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,4055.37,256.56,11396.43,6326.38,5070.05,Bengaluru,Karnataka,Credit Card,Delivered,,Ekart,3,2020-03-26,2020-03-24
ORD-10091,2020-03-22,CUST-10463,Loyal,Organic Search,Coffee Grinder Mini,SKU-COF-009,Kitchen,2,1793.98,0.0,3587.96,1435.18,2152.78,Hyderabad,Telangana,Credit Card,Delivered,,Delhivery,5,2020-03-26,2020-03-27
ORD-10092,2020-03-22,CUST-10003,Loyal,Amazon Marketplace,Running Shoes V3,SKU-RUN-010,Footwear,3,3292.09,0.0,9876.27,4444.32,5431.95,Bengaluru,Karnataka,Debit Card,Delivered,,BlueDart,4,2020-03-24,2020-03-26
ORD-10093,2020-03-22,CUST-10357,Loyal,Google Ads,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,4269.33,485.3,3784.03,2220.05,1563.98,Pune,Maharashtra,Net Banking,Delivered,,DTDC,4,2020-03-28,2020-03-26
ORD-10094,2020-03-24,CUST-11917,New,Direct Website,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,2208.33,0.0,6624.99,3444.99,3180.0,Bengaluru,Karnataka,Wallet,Delivered,,XpressBees,4,2020-03-27,2020-03-28
ORD-10095,2020-03-24,CUST-10354,Loyal,Flipkart Marketplace,Yoga Mat Premium,SKU-YOG-006,Fitness,3,1650.87,0.0,4952.61,1881.99,3070.62,Mumbai,Maharashtra,Cash on Delivery,Shipped,,Ekart,7,2020-03-29,2020-03-31
ORD-10096,2020-03-25,CUST-11997,New,Amazon Marketplace,Wireless Earbuds Pro,SKU-EAR-001,Electronics,1,5207.1,0.0,5207.1,2707.69,2499.41,Delhi,Delhi,Credit Card,Delivered,,Delhivery,5,2020-03-29,2020-03-30
ORD-10097,2020-03-25,CUST-10730,Returning,Amazon Marketplace,Portable Charger 20k,SKU-CHG-008,Electronics,1,2669.46,281.34,2388.12,1414.81,973.31,Bengaluru,Karnataka,Credit Card,Shipped,,DTDC,9,2020-03-31,2020-04-03
ORD-10098,2020-03-25,CUST-10139,Loyal,Google Ads,Running Shoes V3,SKU-RUN-010,Footwear,3,4649.31,0.0,13947.93,6276.57,7671.36,Bengaluru,Karnataka,UPI,Returned,Wrong item delivered,BlueDart,4,2020-03-27,2020-03-29
ORD-10099,2020-03-27,CUST-12323,New,Amazon Marketplace,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,2,321.68,0.0,643.36,225.18,418.18,Delhi,Delhi,Wallet,Returned,Changed mind,XpressBees,4,2020-03-30,2020-03-31
ORD-10100,2020-03-31,CUST-11361,Returning,Google Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,452.45,0.0,1357.35,475.07,882.28,Mumbai,Maharashtra,Credit Card,Delivered,,XpressBees,2,2020-04-03,2020-04-02
ORD-10101,2020-03-31,CUST-11294,Returning,Email Campaign,Coffee Grinder Mini,SKU-COF-009,Kitchen,1,3154.94,0.0,3154.94,1261.98,1892.96,Mumbai,Maharashtra,UPI,Returned,Better price elsewhere,XpressBees,2,2020-04-03,2020-04-02
ORD-10102,2020-03-31,CUST-10259,Loyal,Direct Website,Mechanical Keyboard,SKU-KEY-004,Electronics,2,6563.33,0.0,13126.66,7219.66,5907.0,Ahmedabad,Gujarat,Debit Card,Delivered,,XpressBees,3,2020-04-03,2020-04-03
ORD-10103,2020-04-01,CUST-11327,Returning,Organic Search,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,394.98,0.0,1184.94,414.73,770.21,Mumbai,Maharashtra,Credit Card,Delivered,,Delhivery,6,2020-04-05,2020-04-07
ORD-10104,2020-04-02,CUST-12166,New,Flipkart Marketplace,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,1707.69,164.55,4629.42,2664.0,1965.42,Bengaluru,Karnataka,Wallet,Delivered,,Ekart,3,2020-04-07,2020-04-05
ORD-10105,2020-04-02,CUST-13468,At-Risk,Direct Website,Coffee Grinder Mini,SKU-COF-009,Kitchen,2,1466.15,0.0,2932.3,1172.92,1759.38,Mumbai,Maharashtra,UPI,Delivered,,Ekart,7,2020-04-07,2020-04-09
